GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Secure AI Gateway,com.secureai.pii,PiiRedactionService,2,278,2,26,0,56,2,17,0,5
Secure AI Gateway,com.secureai.pii,PiiRedactionService.PiiRule,0,12,0,0,0,1,0,1,0,1
Secure AI Gateway,com.secureai.security,JwtAuthenticationFilter,1,99,3,9,0,21,3,7,0,4
Secure AI Gateway,com.secureai.security,JwtUtil,13,122,2,2,3,35,2,9,0,9
Secure AI Gateway,com.secureai.agent,ReActAgentService.AgentStep,0,6,0,0,0,3,0,1,0,1
Secure AI Gateway,com.secureai.agent,ReActAgentService,56,250,8,14,13,54,10,10,2,6
Secure AI Gateway,com.secureai.agent,ReActAgentService.AgentResult,0,12,0,0,0,5,0,1,0,1
Secure AI Gateway,com.secureai.config,JpaConfig,0,3,0,0,0,1,0,1,0,1
Secure AI Gateway,com.secureai.config,SecurityConfig,0,235,0,0,0,37,0,13,0,13
Secure AI Gateway,com.secureai.exception,GlobalExceptionHandler,73,56,0,0,14,10,4,5,4,5
Secure AI Gateway,com.secureai.controller,AskController,61,196,1,7,10,38,1,7,0,4
Secure AI Gateway,com.secureai.controller,AdminController,29,3,0,0,5,1,4,1,4,1
Secure AI Gateway,com.secureai.controller,AuthController,0,50,0,0,0,11,0,5,0,5
Secure AI Gateway,com.secureai,SecureAiGatewayApplication,5,3,0,0,2,1,1,1,1,1
Secure AI Gateway,com.secureai.model,AuditLog.AuditLogBuilder,138,0,4,0,1,0,17,0,15,0
Secure AI Gateway,com.secureai.model,LoginRequest,0,26,0,0,0,9,0,6,0,6
Secure AI Gateway,com.secureai.model,ErrorResponse,0,34,0,0,0,12,0,6,0,6
Secure AI Gateway,com.secureai.model,LoginResponse,22,33,0,0,5,12,5,6,5,6
Secure AI Gateway,com.secureai.model,AskRequest,0,20,0,0,0,6,0,5,0,5
Secure AI Gateway,com.secureai.model,User,329,56,66,0,5,7,49,9,16,9
Secure AI Gateway,com.secureai.model,RegisterRequest,0,24,0,0,0,7,0,7,0,7
Secure AI Gateway,com.secureai.model,AskResponse,27,39,0,0,7,14,7,7,7,7
Secure AI Gateway,com.secureai.model,User.UserBuilder,39,64,2,2,0,1,6,7,4,7
Secure AI Gateway,com.secureai.model,AuditLog,530,13,94,0,14,2,77,3,30,3
Secure AI Gateway,com.secureai.service,AuthService,10,125,4,8,2,28,4,7,0,5
Secure AI Gateway,com.secureai.service,OllamaClient.OllamaException,9,0,0,0,2,0,2,0,2,0
Secure AI Gateway,com.secureai.service,AuthService.AuthException,0,4,0,0,0,1,0,1,0,1
Secure AI Gateway,com.secureai.service,OllamaClient,198,17,16,0,40,5,13,2,5,2
Secure AI Gateway,com.secureai.service,RateLimiterService,0,76,0,2,0,18,0,9,0,8
Secure AI Gateway,com.secureai.service,AuditLogService,138,7,4,0,32,2,8,2,6,2
